name,party,state,district,legislature,profile_link
186 Valencia Cruz Rosalba,MORENA,Veracruz,Dtto. 14,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=285
187 Valencia Medina Alma Griselda,MORENA,Michoacán,Circ. 5,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=493
188 Vallejo Valverde Luis,MORENA,México,Dtto. 30,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=655
189 Varela López Víctor Gabriel,MORENA,Ciudad de México,Dtto. 22,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=59
190 Vargas Meraz Teresita de Jesús,MORENA,Chihuahua,Dtto. 2,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=30
191 Vargas Osnaya Ma. Cristina,MORENA,México,Dtto. 4,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=629
192 Vázquez Arellano Manuel ,MORENA,Veracruz,Circ. 3,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=407
193 Vázquez Álvarez Brianda Aurora,MORENA,Sonora,Circ. 1,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=335
194 Vences Valencia Julieta Kristal,MORENA,Puebla,Circ. 4,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=452
195 Vidal Benavides Faustino ,MORENA,Veracruz,Circ. 3,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=417
196 Vigil Hernández Elva Agustina,MORENA,Tamaulipas,Dtto. 4,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=763
197 Villa Villegas Alberto,MORENA,Jalisco,Dtto. 7,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=112
198 Villegas Guarneros Dulce María Corina,MORENA,Veracruz,Dtto. 15,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=286
199 Villegas Sánchez Merary,MORENA,Sinaloa,Dtto. 7,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=246
200 Zamora Valdez Casimiro,MORENA,Sinaloa,Dtto. 4,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=243
201 Zebadúa Alva Joaquín,MORENA,Chiapas,Dtto. 4,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=19
202 Zúñiga Cuevas María del Carmen,MORENA,Colima,Dtto. 2,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=570
1 Aceves Sánchez Erandi Alejandro,PAN,Guanajuato,Dtto. 3,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=577
2 Aguilar Coronado Marco Humberto,PAN,Puebla,Dtto. 10,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=218
3 Ahedo Bárcenas Laura Patricia,PAN,Aguascalientes,Dtto. 2,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=502
4 Alcántar Ortega Salvador,PAN,Chihuahua,Dtto. 5,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=533
5 Almendariz Puppo Marco Antonio,PAN,Baja California Sur,Dtto. 1,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=12
6 Álvarez Hernández Daniela Soraya,PAN,Chihuahua,Dtto. 4,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=32
7 Arellano Orozco Octavio,PAN,México,Dtto. 15,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=640
8 Azuara Zúñiga Xavier,PAN,San Luis Potosí,Circ. 2,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=350
9 Báez Guerrero José Luis,PAN,Querétaro,Circ. 2,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=342
10 Balderas Hernández Itzel Josefina,PAN,Guanajuato,Dtto. 15,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=89
11 Balderas Trejo Ana María,PAN,México,Dtto. 14,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=139
12 Beauregard Martínez Carolina,PAN,Puebla,Dtto. 11,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=219
13 Castell de Oro Palacios María Teresa,PAN,México,Dtto. 34,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=159
14 Castillo Martínez Luz Maria,PAN,México,Circ. 5,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=962
15 Castrellón Garza Francisco Javier,PAN,Durango,Dtto. 1,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=71
16 Castro Narváez Marco Antonio,PAN,Tamaulipas,Dtto. 6,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=765
17 Chalé Cauich Sergio Enrrique,PAN,Yucatán,Dtto. 1,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=292
18 Cifuentes Negrete Román,PAN,Guanajuato,Circ. 2,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=344
19 Compeán Fernández Eliseo ,PAN,Chihuahua,Circ. 1,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=304
20 Contreras Duarte Laura Patricia,PAN,Chihuahua,Dtto. 6,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=34
21 Díaz Villalón Erika de los Ángeles,PAN,Querétaro,Dtto. 5,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=228
22 Escudero Fabre María del Carmen,PAN,Veracruz,Circ. 3,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=382
23 Figueroa Reyes René,PAN,México,Circ. 5,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=965
24 Flores Vázquez Martín Alejandro,PAN,Nuevo León,Circ. 2,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=848
25 Galarza Castro Yesenia ,PAN,Guerrero,Circ. 4,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=429
26 Galván Cervantes Sandra,PAN,Guanajuato,Dtto. 14,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=588
27 Gamboa Torales María Josefina,PAN,Veracruz,Dtto. 12,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=283
28 García Astorga Carlos Fernando,PAN,Nuevo León,Dtto. 1,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=687
29 García Marmolejo Leticia,PAN,Guanajuato,Dtto. 1,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=575
30 García Velasco Anabey ,PAN,Michoacán,Circ. 5,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=466
31 Garza Treviño Pedro,PAN,Nuevo León,Dtto. 11,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=197
32 Godínez del Rio Enrique,PAN,Michoacán,Dtto. 5,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=171
33 Gómez Cárdenas Annia Sarahí,PAN,Nuevo León,Dtto. 6,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=192
34 Gómez Madrigal Georgina,PAN,México,Dtto. 7,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=632
35 Gómez del Campo Gurza Mariana,PAN,Ciudad de México,Circ. 4,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=423
36 González Alonso Carmen Rocío,PAN,Chihuahua,Dtto. 8,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=36
37 González Cruz Karla Verónica,PAN,Veracruz,Circ. 3,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=886
38 González Márquez Karen Michel,PAN,Guanajuato,Dtto. 7,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=81
39 González Rivera María Elena,PAN,Durango,Dtto. 4,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=574
40 González Urrutia Wendy,PAN,Ciudad de México,Dtto. 3,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=40
41 González Zepeda Javier,PAN,México,Dtto. 40,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=165
42 Gudiño Magaña Omar Francisco,PAN,Michoacán,Dtto. 10,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=676
43 Guevara Rodríguez Miguel Ángel,PAN,Ciudad de México,Dtto. 15,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=552
44 Gutiérrez Leano Kathya Andrea,PAN,Nuevo León,Circ. 2,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=1003
45 Gutiérrez Valdez María de los Angeles,PAN,Chihuahua,Dtto. 9,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=37
46 Gutiérrez Valtierra Diana Estefania,PAN,Guanajuato,Circ. 2,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=353
47 Huerta Ling Guillermo Octavio,PAN,Ciudad de México,Circ. 4,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=354
48 Huerta Villegas Genoveva,PAN,Puebla,Circ. 4,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=425
49 Inzunza Armas Jorge Ernesto,PAN,México,Circ. 5,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=463
50 Jiménez Angulo Julia Licet,PAN,Colima,Circ. 5,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=464
51 Juárez Navarrete Berenice,PAN,Michoacán,Dtto. 6,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=172
52 Lara Carreón Diana María Teresa,PAN,Ciudad de México,Dtto. 6,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=43
53 Leal Montoy Luz Giovanna,PAN,Nuevo León,Dtto. 3,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=689
54 Lixa Abimerhi José Elías,PAN,Yucatán,Circ. 3,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=385
55 Loyola Vera Ignacio,PAN,Querétaro,Dtto. 3,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=226
56 Luna Ayala Noemi Berenice,PAN,Zacatecas,Circ. 2,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=351
57 Macías Zambrano Gustavo,PAN,Jalisco,Dtto. 1,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=106
58 Mancillas Cabrera Mariana,PAN,Nuevo León,Circ. 2,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=343
59 Mar Vargas Honoria,PAN,Tamaulipas,Dtto. 8,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=767
60 Mata Atilano Noel,PAN,Aguascalientes,Dtto. 1,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=1
61 Mata Lozano Lizbeth,PAN,Baja California,Circ. 1,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=307
62 Maturino Manzanera Juan Carlos,PAN,Durango,Circ. 1,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=306
63 Monraz Ibarra Miguel Ángel,PAN,Jalisco,Circ. 1,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=308
64 Morales García Carolina,PAN,Puebla,Dtto. 9,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=717
65 Murillo Manríquez Sonia ,PAN,Baja California Sur,Circ. 1,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=305
66 Núñez Meneses Ali Sayuri,PAN,México,Dtto. 6,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=131
67 Olvera Coronel Lilia Caritina,PAN,Tlaxcala,Circ. 4,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=427
68 Olvera Higuera Claudia Gabriela,PAN,México,Dtto. 24,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=149
69 Oranday Aguirre Nora Elva,PAN,Coahuila,Circ. 2,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=349
70 Ortiz Domínguez José de Jesús,PAN,Aguascalientes,Dtto. 3,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=503
71 Palomo Valles Jesús Alberto,PAN,Tamaulipas,Dtto. 5,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=764
72 Pérez-Jaén Zermeño María Elena,PAN,Aguascalientes,Circ. 2,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=841
73 Pool Ake Selene Arely,PAN,Yucatán,Circ. 3,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=884
74 Quadri de La Torre Gabriel Ricardo,PAN,Ciudad de México,Dtto. 23,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=60
75 Ramos Juárez Adela,PAN,Chiapas,Dtto. 2,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=17
76 Rendón García Cesar Augusto,PAN,Tamaulipas,Circ. 2,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=852
77 Reza Gallegos Rocío Esmeralda,PAN,Chihuahua,Circ. 1,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=301
78 Rocha Acosta Sonia,PAN,Querétaro,Dtto. 1,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=224
79 Rocha Bravo Antonio Eduardo,PAN,Guanajuato,Dtto. 5,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=579
80 Rodarte De Lara Miguel Humberto,PAN,Ciudad de México,Circ. 4,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=924
81 Rodríguez Herrera María de los Milagros,PAN,Guanajuato,Dtto. 12,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=586
82 Rodríguez Vallejo Alma Cristina,PAN,Guanajuato,Dtto. 6,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=580
83 Romero Herrera Jorge,PAN,Ciudad de México,Circ. 4,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=422
84 Romero Hicks Juan Carlos,PAN,Guanajuato,Dtto. 4,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=78
85 Romero Velázquez Krishna Karina,PAN,México,Dtto. 19,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=144
86 Romo Cuéllar Martha Estela,PAN,Jalisco,Dtto. 2,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=107
87 Rubio Fernández Paulina,PAN,Jalisco,Circ. 1,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=303
88 Salgado Almaguer Pedro,PAN,Nuevo León,Dtto. 4,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=190
89 Sánchez Velázquez Ana Laura,PAN,Jalisco,Dtto. 15,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=120
90 Sánchez Zepeda Rodrigo,PAN,Michoacán,Dtto. 4,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=170
91 Serrato Castell Luis Gerardo,PAN,Sonora,Circ. 1,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=302
92 Solórzano Gallego Marcia,PAN,Querétaro,Dtto. 2,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=225
93 Sosa Gutiérrez Enrique Gerardo,PAN,Querétaro,Dtto. 4,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=727
94 Suárez Heredia Cristian Exequiel,PAN,Colima,Dtto. 1,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=569
95 Tejeda Cid Armando,PAN,Michoacán,Circ. 5,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=461
96 Téllez Hernández Héctor Saúl,PAN,Ciudad de México,Dtto. 24,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=61
97 Terrazas Baca Patricia,PAN,Chihuahua,Dtto. 7,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=35
98 Tinajero Robles Desiderio,PAN,Jalisco,Dtto. 3,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=108
99 Torreblanca Engell Santiago ,PAN,Ciudad de México,Circ. 4,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=426
100 Tovar Vargas José Salvador,PAN,Guanajuato,Dtto. 9,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=583
101 Triana Tena Jorge,PAN,Ciudad de México,Dtto. 17,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=54
102 Valenzuela Corral Roberto ,PAN,Aguascalientes,Circ. 2,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=346
103 Valenzuela González Carlos Alberto,PAN,Veracruz,Circ. 3,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=383
104 Valenzuela Sánchez Ana Laura,PAN,Ciudad de México,Circ. 4,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=428
105 Villarreal García Ricardo,PAN,Guanajuato,Dtto. 2,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=76
106 Villaseñor Cicero Eduardo Israel,PAN,México,Dtto. 22,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=647
107 Vitar Soto Iván Husain,PAN,Zacatecas,Dtto. 2,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=798
108 Zapata Meraz José Antonio,PAN,San Luis Potosí,Dtto. 5,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=237
109 Zavala Gómez del Campo Margarita Ester,PAN,Ciudad de México,Dtto. 10,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=47
110 Zavala Peniche María Beatriz,PAN,Yucatán,Dtto. 4,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=795
111 Zetter González Alfredo,PAN,Guanajuato,Dtto. 11,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=585
1 Aceves García Norma Angélica,PRI,Hidalgo,Circ. 5,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=473
2 Acosta Peña Brasil Alberto,PRI,México,Circ. 5,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=476
3 Aguilar Castillo Ricardo,PRI,México,Circ. 5,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=468
4 Aguirre Maldonado Ma. De Jesús,PRI,Nuevo León,Dtto. 8,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=194
5 Alcalá Ruiz Blanca Maria del Socorro,PRI,Puebla,Circ. 4,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=435
6 Alcantara Rojas Maria Guadalupe,PRI,Ciudad de México,Circ. 4,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=431
7 Angulo Briceño Pablo Guillermo,PRI,Campeche,Circ. 3,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=387
8 Arcos Velázquez Montserrat Alicia,PRI,Tamaulipas,Circ. 2,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=355
9 Arguijo Hernández Teodoro,PRI,Coahuila,Dtto. 6,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=567
10 Ayala Villalobos Karla,PRI,Ciudad de México,Dtto. 5,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=42
11 Azuara Yarzábal Frinné,PRI,San Luis Potosí,Circ. 2,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=359
12 Barrera Fortoul Laura,PRI,México,Circ. 5,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=471
13 Barrón Perales Karina Marlen,PRI,Nuevo León,Dtto. 10,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=196
14 Bernal Bolnik Sue Ellen,PRI,México,Dtto. 41,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=166
15 Camarena Jáuregui María del Refugio,PRI,Jalisco,Dtto. 20,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=125
16 Cantú Ramírez Andrés Mauricio,PRI,Nuevo León,Dtto. 2,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=188
17 Cárdenas Monroy Oscar Gustavo,PRI,México,Dtto. 3,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=128
18 Cardona Ortiz Alma Patricia,PRI,Coahuila,Dtto. 3,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=564
19 Carvajal Isunza Sofia ,PRI,Guanajuato,Circ. 2,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=361
20 Casique Zárate Javier ,PRI,México,Circ. 5,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=474
21 Castellanos Ramírez Alan,PRI,México,Dtto. 39,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=164
22 Cortes Lira Jorge Adrián,PRI,Nuevo León,Dtto. 12,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=698
23 Cruz Mendoza Eufrosina ,PRI,Oaxaca,Circ. 3,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=388
24 Dávila Ramírez Carolina,PRI,Zacatecas,Dtto. 4,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=300
25 Dávila Sánchez Salvador,PRI,Coahuila,Dtto. 4,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=565
26 de la Torre Valdez Yolanda,PRI,Durango,Circ. 1,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=315
27 Díaz Montero Rodrigo Manuel,PRI,Yucatán,Dtto. 2,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=793
28 Díaz Tejeda Nelida Ivonne Sabrina,PRI,Nayarit,Circ. 1,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=313
29 Espinoza Eguia Juan Francisco,PRI,Nuevo León,Dtto. 9,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=195
30 Fuentes Ávila Rodrigo ,PRI,Coahuila,Circ. 2,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=358
31 Galicia Ávila Victor Manuel Anastasio,PRI,Baja California,Circ. 1,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=810
32 Gamboa Miner Pablo ,PRI,Yucatán,Circ. 3,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=391
33 Gómez Cambrón Sofía,PRI,México,Dtto. 26,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=651
34 Gómez Villanueva Augusto ,PRI,Ciudad de México,Circ. 4,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=436
35 González Aguirre Mariano ,PRI,Durango,Circ. 1,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=314
36 González Rubio Juan Manuel,PRI,México,Dtto. 9,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=634
37 González Zirión Xavier,PRI,Ciudad de México,Dtto. 16,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=53
38 Guajardo Villarreal Ildefonso ,PRI,Nuevo León,Circ. 2,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=360
39 Guerra Castillo Marcela,PRI,Nuevo León,Dtto. 5,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=191
40 Guerrero Esquivel Fuensanta Guadalupe,PRI,Zacatecas,Circ. 2,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=357
41 Gutiérrez Jardón José Antonio,PRI,Coahuila,Dtto. 5,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=66
42 Gutiérrez Zapien Alejandra,PRI,Michoacán,Dtto. 7,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=673
43 Hernández Ferriño Sergio,PRI,Coahuila,Dtto. 7,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=568
44 Hernández Zetina Hiram ,PRI,Chihuahua,Circ. 1,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=312
45 Herrera Anzaldo Ana Lilia,PRI,México,Dtto. 27,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=152
46 Iriarte Mercado Carlos ,PRI,México,Circ. 5,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=470
47 Jaimes Albarrán Jazmín,PRI,México,Dtto. 36,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=161
48 Jiménez Castillo Brenda Mariana,PRI,Hidalgo,Circ. 5,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=977
49 Jiménez Rodríguez Raúl,PRI,Ciudad de México,Dtto. 18,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=555
50 Ladrón de Guevara González Miriam Janeth,PRI,Jalisco,Circ. 1,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=809
51 López Castro Cynthia Iliana,PRI,Ciudad de México,Circ. 4,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=433
52 López García Roberto Carlos,PRI,Michoacán,Dtto. 8,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=174
53 Medina Ramírez Tereso ,PRI,Coahuila,Circ. 2,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=362
54 Méndez Márquez Victoria Eugenia,PRI,Hidalgo,Circ. 5,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=967
55 Mendoza Bustamante Marco Antonio,PRI,Hidalgo,Circ. 5,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=472
56 Moreira Valdez Rubén Ignacio,PRI,Coahuila,Circ. 2,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=356
57 Moreno Cárdenas Rafael Alejandro,PRI,Ciudad de México,Circ. 4,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=430
58 Murat Hinojosa Eduardo Enrique,PRI,Morelos,Circ. 4,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=432
59 Nassar Piñeyro Mariana Erandi,PRI,Oaxaca,Circ. 3,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=392
60 Onofre Vázquez Vicente Alberto,PRI,México,Dtto. 33,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=158
61 Piñón Rivera Lorena ,PRI,Veracruz,Circ. 3,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=390
62 Reina Iglesias Fernando ,PRI,Guerrero,Circ. 4,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=934
63 Rodríguez Muñoz Reynel,PRI,Guerrero,Dtto. 1,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=90
64 Ruiz Sandoval Cristina ,PRI,México,Circ. 5,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=469
65 Sámano Peralta Miguel,PRI,México,Dtto. 1,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=126
