name,party,state,district,legislature,profile_link
44 Constantino Magaña Esteban Rafael,MORENA,Michoacán,Dtto. 9,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=675
45 Contreras Castillo Armando,MORENA,Oaxaca,Circ. 3,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=415
46 Contreras García Janicie,MORENA,Tabasco,Dtto. 5,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=258
47 Corona Arvizu Armando,MORENA,México,Dtto. 12,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=137
48 Coutiño Gutiérrez Leonor ,MORENA,Chiapas,Circ. 3,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=420
49 Cruz Santos Flora Tania,MORENA,Veracruz,Dtto. 11,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=282
50 Curiel Aldaz María del Carmen,MORENA,Jalisco,Dtto. 16,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=621
51 De la Cruz Lima José Miguel,MORENA,México,Circ. 5,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=486
52 Del Castillo Ibarra Erika Vanessa,MORENA,Ciudad de México,Dtto. 1,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=38
53 Del Razo Montiel Steve Esteban,MORENA,Tlaxcala,Dtto. 3,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=771
54 Díaz García Eva Reyna Esmeralda ,MORENA,Nuevo León,Circ. 2,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=881
55 Diaz Vilchis Catalina ,MORENA,México,Circ. 5,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=485
56 Domínguez Escobar Ángel,MORENA,Oaxaca,Dtto. 1,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=199
57 Domínguez Rodríguez Roberto Ángel,MORENA,México,Dtto. 28,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=153
58 Durán Ruiz Félix,MORENA,Nayarit,Dtto. 1,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=684
59 Elizalde Gastelo Ana Yolanda,MORENA,Sinaloa,Dtto. 5,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=744
60 Elizondo Guerra Olga Juliana,MORENA,Tamaulipas,Dtto. 2,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=261
61 Elorza Flores José Luis,MORENA,Chiapas,Dtto. 12,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=27
62 Espinoza Lopez Brenda,MORENA,Morelos,Dtto. 4,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=182
